                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98611,                 3.3909,                0.94124,                0.39113,                0.66311,                0.49206,                0.41759,                0.59179,                 1.5951,                0.85772,              0.0033308,              0.0033308,              0.0033308
                      2,                0.79614,                 1.6479,                0.90049,                 0.9345,                0.92893,                0.98072,                0.85488,                0.55312,                0.63896,                0.84571,              0.0065982,              0.0065982,              0.0065982
                      3,                0.75721,                 1.1155,                 0.8925,                0.97118,                0.97676,                0.99134,                0.87809,                0.50631,                0.48456,                 0.8354,              0.0097995,              0.0097995,              0.0097995
                      4,                0.69332,                0.86687,                0.87822,                 0.9913,                0.99266,                0.99441,                0.90222,                0.44915,                0.38246,                0.81987,               0.009703,               0.009703,               0.009703
                      5,                 0.6274,                0.67368,                0.86163,                0.99266,                0.99662,                0.99471,                0.90827,                0.42881,                0.32104,                0.81267,               0.009703,               0.009703,               0.009703
                      6,                0.58516,                0.57278,                0.85169,                0.99572,                0.99675,                0.99477,                0.92384,                 0.3911,                0.28497,                0.80252,               0.009604,               0.009604,               0.009604
                      7,                0.55932,                0.51555,                0.84256,                0.99598,                 0.9968,                0.99494,                0.92377,                0.39753,                0.27222,                0.80108,               0.009505,               0.009505,               0.009505
                      8,                0.53877,                0.48363,                0.83901,                0.99725,                0.99786,                0.99491,                0.93345,                0.36698,                0.24543,                0.79559,               0.009406,               0.009406,               0.009406
                      9,                0.52071,                0.45773,                0.83414,                0.99636,                0.99736,                0.99488,                0.93802,                0.35819,                0.23431,                0.79219,               0.009307,               0.009307,               0.009307
                     10,                0.51193,                0.43677,                 0.8315,                0.99788,                0.99947,                  0.995,                0.94397,                0.34291,                0.22129,                0.79013,               0.009208,               0.009208,               0.009208
